instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
144,2011-05-24,2,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,659,3833,s2_3442_5764
145,2011-05-25,2,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,740,4238,s2_3442_5764
146,2011-05-26,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,758,3919,s2_3442_5764
147,2011-05-27,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,871,3808,s2_3442_5764
148,2011-05-28,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,2001,2757,s2_3442_5764
149,2011-05-29,2,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s3_0_up,s1_below_0,2355,2433,s2_3442_5764
150,2011-05-30,2,0,s2_2_8,s2_0_up,1,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1549,2549,s2_3442_5764
151,2011-05-31,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,673,3309,s2_3442_5764
152,2011-06-01,2,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,513,3461,s2_3442_5764
153,2011-06-02,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,736,4232,s2_3442_5764
154,2011-06-03,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,898,4414,s2_3442_5764
155,2011-06-04,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1869,3473,s2_3442_5764
156,2011-06-05,2,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1685,3221,s2_3442_5764
157,2011-06-06,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,673,3875,s2_3442_5764
158,2011-06-07,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,763,4070,s2_3442_5764
159,2011-06-08,2,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,676,3725,s2_3442_5764
160,2011-06-09,2,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,563,3352,s2_3442_5764
161,2011-06-10,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,815,3771,s2_3442_5764
162,2011-06-11,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1729,3237,s2_3442_5764
163,2011-06-12,2,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1467,2993,s2_3442_5764
164,2011-06-13,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,863,4157,s2_3442_5764
165,2011-06-14,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,727,4164,s2_3442_5764
166,2011-06-15,2,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,769,4411,s2_3442_5764
167,2011-06-16,2,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,545,3222,s2_3442_5764
168,2011-06-17,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,863,3981,s2_3442_5764
169,2011-06-18,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1807,3312,s2_3442_5764
170,2011-06-19,2,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1639,3105,s2_3442_5764
171,2011-06-20,2,0,s2_2_8,s1_below_0,1,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,699,3311,s2_3442_5764
172,2011-06-21,3,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,774,4061,s2_3442_5764
173,2011-06-22,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,661,3846,s2_3442_5764
174,2011-06-23,3,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,746,4044,s2_3442_5764
175,2011-06-24,3,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,969,4022,s2_3442_5764
176,2011-06-25,3,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1782,3420,s2_3442_5764
177,2011-06-26,3,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1920,3385,s2_3442_5764
178,2011-06-27,3,0,s2_2_8,s1_below_0,1,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,854,3854,s2_3442_5764
179,2011-06-28,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,732,3916,s2_3442_5764
180,2011-06-29,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,848,4377,s2_3442_5764
181,2011-06-30,3,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1027,4488,s2_3442_5764
182,2011-07-01,3,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1246,4116,s2_3442_5764
183,2011-07-02,3,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,2204,2915,s2_3442_5764
184,2011-07-03,3,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,2282,2367,s2_3442_5764
185,2011-07-04,3,0,s2_2_8,s2_0_up,1,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,3065,2978,s3_5764_up
186,2011-07-05,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1031,3634,s2_3442_5764
187,2011-07-06,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,784,3845,s2_3442_5764
188,2011-07-07,3,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,754,3838,s2_3442_5764
189,2011-07-08,3,0,s2_2_8,s1_below_0,5,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,692,3348,s2_3442_5764
190,2011-07-09,3,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1988,3348,s2_3442_5764
191,2011-07-10,3,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1743,3138,s2_3442_5764
192,2011-07-11,3,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,723,3363,s2_3442_5764
193,2011-07-12,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,662,3596,s2_3442_5764
194,2011-07-13,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,748,3594,s2_3442_5764
195,2011-07-14,3,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,888,4196,s2_3442_5764
196,2011-07-15,3,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1318,4220,s2_3442_5764
197,2011-07-16,3,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,2418,3505,s3_5764_up
198,2011-07-17,3,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,2006,3296,s2_3442_5764
199,2011-07-18,3,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,841,3617,s2_3442_5764
200,2011-07-19,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,752,3789,s2_3442_5764
201,2011-07-20,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,644,3688,s2_3442_5764
202,2011-07-21,3,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,632,3152,s2_3442_5764
203,2011-07-22,3,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,562,2825,s1_below_3442
204,2011-07-23,3,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,987,2298,s1_below_3442
205,2011-07-24,3,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1050,2556,s2_3442_5764
206,2011-07-25,3,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,568,3272,s2_3442_5764
207,2011-07-26,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,750,3840,s2_3442_5764
208,2011-07-27,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,755,3901,s2_3442_5764
209,2011-07-28,3,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,606,3784,s2_3442_5764
210,2011-07-29,3,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,670,3176,s2_3442_5764
211,2011-07-30,3,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1559,2916,s2_3442_5764
212,2011-07-31,3,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1524,2778,s2_3442_5764
213,2011-08-01,3,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,729,3537,s2_3442_5764
214,2011-08-02,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,801,4044,s2_3442_5764
215,2011-08-03,3,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,467,3107,s2_3442_5764
216,2011-08-04,3,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,799,3777,s2_3442_5764
217,2011-08-05,3,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1023,3843,s2_3442_5764
218,2011-08-06,3,0,s2_2_8,s1_below_0,6,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1521,2773,s2_3442_5764
219,2011-08-07,3,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1298,2487,s2_3442_5764
220,2011-08-08,3,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,846,3480,s2_3442_5764
221,2011-08-09,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,907,3695,s2_3442_5764
222,2011-08-10,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,884,3896,s2_3442_5764
223,2011-08-11,3,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,812,3980,s2_3442_5764
224,2011-08-12,3,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1051,3854,s2_3442_5764
225,2011-08-13,3,0,s2_2_8,s1_below_0,6,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1504,2646,s2_3442_5764
226,2011-08-14,3,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s3_0_up,s1_below_0,1338,2482,s2_3442_5764
227,2011-08-15,3,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,775,3563,s2_3442_5764
228,2011-08-16,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,721,4004,s2_3442_5764
229,2011-08-17,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,668,4026,s2_3442_5764
230,2011-08-18,3,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,639,3166,s2_3442_5764
231,2011-08-19,3,0,s2_2_8,s1_below_0,5,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,797,3356,s2_3442_5764
232,2011-08-20,3,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1914,3277,s2_3442_5764
233,2011-08-21,3,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1249,2624,s2_3442_5764
234,2011-08-22,3,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,833,3925,s2_3442_5764
235,2011-08-23,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1281,4614,s3_5764_up
236,2011-08-24,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,949,4181,s2_3442_5764
237,2011-08-25,3,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,435,3107,s2_3442_5764
238,2011-08-26,3,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,768,3893,s2_3442_5764
239,2011-08-27,3,0,s2_2_8,s1_below_0,6,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s3_0_up,s2_0_0,226,889,s1_below_3442
240,2011-08-28,3,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1415,2919,s2_3442_5764
241,2011-08-29,3,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,729,3905,s2_3442_5764
242,2011-08-30,3,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,775,4429,s2_3442_5764
243,2011-08-31,3,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,688,4370,s2_3442_5764
244,2011-09-01,3,0,s3_8_up,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,783,4332,s2_3442_5764
245,2011-09-02,3,0,s3_8_up,s1_below_0,5,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,875,3852,s2_3442_5764
246,2011-09-03,3,0,s3_8_up,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1935,2549,s2_3442_5764
247,2011-09-04,3,0,s3_8_up,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,2521,2419,s2_3442_5764
248,2011-09-05,3,0,s3_8_up,s2_0_up,1,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s3_0_up,s1_below_0,1236,2115,s1_below_3442
249,2011-09-06,3,0,s3_8_up,s1_below_0,2,s2_0_up,s3_2_up,s3_0_up,s2_0_0,s3_0_up,s2_0_0,204,2506,s1_below_3442
250,2011-09-07,3,0,s3_8_up,s1_below_0,3,s2_0_up,s3_2_up,s3_0_up,s2_0_0,s3_0_up,s1_below_0,118,1878,s1_below_3442
251,2011-09-08,3,0,s3_8_up,s1_below_0,4,s2_0_up,s3_2_up,s3_0_up,s2_0_0,s3_0_up,s1_below_0,153,1689,s1_below_3442
252,2011-09-09,3,0,s3_8_up,s1_below_0,5,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,417,3127,s2_3442_5764
253,2011-09-10,3,0,s3_8_up,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1750,3595,s2_3442_5764
254,2011-09-11,3,0,s3_8_up,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1633,3413,s2_3442_5764
255,2011-09-12,3,0,s3_8_up,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,690,4023,s2_3442_5764
256,2011-09-13,3,0,s3_8_up,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,701,4062,s2_3442_5764
257,2011-09-14,3,0,s3_8_up,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,647,4138,s2_3442_5764
258,2011-09-15,3,0,s3_8_up,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s2_0_0,s1_below_0,428,3231,s2_3442_5764
259,2011-09-16,3,0,s3_8_up,s1_below_0,5,s2_0_up,s2_1_2,s2_0_0,s2_0_0,s2_0_0,s1_below_0,742,4018,s2_3442_5764
260,2011-09-17,3,0,s3_8_up,s1_below_0,6,s1_below_0,s2_1_2,s2_0_0,s2_0_0,s2_0_0,s1_below_0,1434,3077,s2_3442_5764
261,2011-09-18,3,0,s3_8_up,s1_below_0,0,s1_below_0,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,1353,2921,s2_3442_5764
262,2011-09-19,3,0,s3_8_up,s1_below_0,1,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s2_0_0,s1_below_0,691,3848,s2_3442_5764
263,2011-09-20,3,0,s3_8_up,s1_below_0,2,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,438,3203,s2_3442_5764
264,2011-09-21,3,0,s3_8_up,s1_below_0,3,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,539,3813,s2_3442_5764
265,2011-09-22,3,0,s3_8_up,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,555,4240,s2_3442_5764
266,2011-09-23,4,0,s3_8_up,s1_below_0,5,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,258,2137,s1_below_3442
267,2011-09-24,4,0,s3_8_up,s1_below_0,6,s1_below_0,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,1776,3647,s2_3442_5764
268,2011-09-25,4,0,s3_8_up,s1_below_0,0,s1_below_0,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,1544,3466,s2_3442_5764
269,2011-09-26,4,0,s3_8_up,s1_below_0,1,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s3_0_up,s1_below_0,684,3946,s2_3442_5764
270,2011-09-27,4,0,s3_8_up,s1_below_0,2,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,477,3643,s2_3442_5764
271,2011-09-28,4,0,s3_8_up,s1_below_0,3,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,480,3427,s2_3442_5764
272,2011-09-29,4,0,s3_8_up,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,653,4186,s2_3442_5764
273,2011-09-30,4,0,s3_8_up,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,830,4372,s2_3442_5764
274,2011-10-01,4,0,s3_8_up,s1_below_0,6,s1_below_0,s2_1_2,s2_0_0,s2_0_0,s2_0_0,s1_below_0,480,1949,s1_below_3442
275,2011-10-02,4,0,s3_8_up,s1_below_0,0,s1_below_0,s2_1_2,s2_0_0,s1_below_0,s3_0_up,s1_below_0,616,2302,s1_below_3442
276,2011-10-03,4,0,s3_8_up,s1_below_0,1,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s1_below_0,330,3240,s2_3442_5764
277,2011-10-04,4,0,s3_8_up,s1_below_0,2,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,486,3970,s2_3442_5764
278,2011-10-05,4,0,s3_8_up,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,559,4267,s2_3442_5764
279,2011-10-06,4,0,s3_8_up,s1_below_0,4,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,639,4126,s2_3442_5764
280,2011-10-07,4,0,s3_8_up,s1_below_0,5,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,949,4036,s2_3442_5764
281,2011-10-08,4,0,s3_8_up,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,2235,3174,s2_3442_5764
282,2011-10-09,4,0,s3_8_up,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,2397,3114,s2_3442_5764
283,2011-10-10,4,0,s3_8_up,s2_0_up,1,s1_below_0,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,1514,3603,s2_3442_5764
284,2011-10-11,4,0,s3_8_up,s1_below_0,2,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,667,3896,s2_3442_5764
285,2011-10-12,4,0,s3_8_up,s1_below_0,3,s2_0_up,s3_2_up,s3_0_up,s2_0_0,s3_0_up,s1_below_0,217,2199,s1_below_3442
286,2011-10-13,4,0,s3_8_up,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,290,2623,s1_below_3442
287,2011-10-14,4,0,s3_8_up,s1_below_0,5,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s2_0_0,s1_below_0,529,3115,s2_3442_5764
288,2011-10-15,4,0,s3_8_up,s1_below_0,6,s1_below_0,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,1899,3318,s2_3442_5764
289,2011-10-16,4,0,s3_8_up,s1_below_0,0,s1_below_0,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,1748,3293,s2_3442_5764
290,2011-10-17,4,0,s3_8_up,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,713,3857,s2_3442_5764
